Edad;Profesión;Orden;T Carta;T App;Frecuencia restaurant;usa app para comida?;App en restaurant?;Momento más frustrante en el restaurant;Tiempo en ser atendido;Frecuencia de plato equivocado;Escala de intuición? ;Utilizaría la App?;Probabilidad de recomendarla?;Cuál es más sencilla?;Eliminaría la carta?
27;Sistemas;CA;40;60;Dos veces por mes;si;no;Pagar;10 min;poco probable;5;si;5;No sabe;No
45;Sistemas;AC;95;150;Dos veces por mes;no;no;Esperar el pedido;10;2 al año;4;si;4;Aplicación;No
55;Comerciante;CA;133;80;Una por mes;si;no;Esperar el pedido;10;Nunca;5;No;1;Aplicación;No
50;Comerciante;AC;60;80;Una por mes;no;no;Esperar el pedido;5;Nunca;4;No;4;No sabe;No
25;Deporte;AC;55;70;Más de 4 veces;si;si;Esperar el pedido;10;poco probable;5;si;5;Carta;No
55;Arquitectura;AC;80;157;Más de 4 veces;no;si;Esperar el pedido;0;Nunca;3;si;3;Aplicación;Si
46;Docencia;CA;120;80;Dos veces por mes;no;no;Salir de casa;0;Nunca;3;No;3;Carta;No
27;Industria;CA;120;60;Una por mes;si;no;Esperar el pedido;15;Nunca;5;si;4;Carta;No
25;Docencia;CA;180;120;Más de 4 veces;si;no;Esperar el pedido;10;Nunca;5;si;5;Aplicación;No
